actor_ent,actor_logprob,actor_loss,batch_reward,buffer_size,critic_loss,critic_q1,critic_q2,critic_target_q,episode,episode_length,episode_reward,fps,frame,step,total_time
9.875650480270386,-6.5971921443939205,0.038457939200103285,0.0,5000.0,0.0003487300221731857,-0.03860486087575555,-0.03862319057062268,-0.03862259266898036,5.0,1000.0,0.0,0.9919113104590306,5000,5000.0,1008.1546547412872
9.862936059951782,-6.586121078491211,0.02698557434231043,0.0,6000.0,4.622798629407043e-05,-0.025796793101355433,-0.025786133190616966,-0.025799058217555286,6.0,1000.0,0.0,11.058199210293521,6000,6000.0,1098.5852918624878
9.85019850730896,-6.5864972505569455,0.01905086029566519,0.0,7000.0,8.35556998008542e-05,-0.018096898433606838,-0.018099338710075245,-0.01808498684503138,7.0,1000.0,0.0,11.874553377588253,7000,7000.0,1182.7989864349365
9.837437757492065,-6.570305763244629,0.01372707656957209,0.0,8000.0,2.688560572823917e-05,-0.012823391227269894,-0.012828930856194347,-0.012829376189038157,8.0,1000.0,0.0,11.891945985604043,8000,8000.0,1266.8895139694214
9.824653678894043,-6.549548099517822,0.010479212449863553,0.0,9000.0,4.696376724041329e-06,-0.010448453936725855,-0.010449912315234542,-0.010449639208614827,9.0,1000.0,0.0,11.621679452469158,9000,9000.0,1352.9355981349945
9.811846220016479,-6.527175486564636,0.007097765016369522,0.0,10000.0,2.6174469303441583e-06,-0.007373831488192081,-0.007372308252379298,-0.007371724930591881,10.0,1000.0,0.0,11.795550090436402,10000,10000.0,1437.7133326530457
9.799015274047852,-6.520675966262817,0.004675164239015431,0.0,11000.0,3.1944233421654645e-06,-0.0047322758920490746,-0.0047309193143155424,-0.004732518678996712,11.0,1000.0,0.0,1.4129023292054181,11000,11000.0,2145.476339817047
9.78616076850891,-6.521085899353027,0.0030500976010225714,0.0,12000.0,2.4885220032047074e-06,-0.002874048221157864,-0.0028755694236606358,-0.0028737212689593436,12.0,1000.0,0.0,11.237054971501006,12000,12000.0,2234.467629432678
9.773282606124878,-6.505992573738098,0.0027502363440580664,0.0,13000.0,5.072123607305912e-06,-0.0021801110036612954,-0.0021817605933028973,-0.002180974586168304,13.0,1000.0,0.0,11.704348336924555,13000,13000.0,2319.9059619903564
9.7603807182312,-6.478545728683471,0.0024784241677625685,0.0,14000.0,3.845418269520451e-06,-0.0019496865984147008,-0.001950544927480223,-0.0019507877479773015,14.0,1000.0,0.0,11.750976341782426,14000,14000.0,2405.005274772644
9.747455041885376,-6.459403434753418,0.0031130152857513165,0.0,15000.0,6.078268748751725e-06,-0.002278308805391134,-0.0022789202389176355,-0.0022775268510449678,15.0,1000.0,0.0,11.817845571642815,15000,15000.0,2489.6230676174164
9.73450538444519,-6.444916572570801,0.0034581313473172485,0.0,16000.0,4.34232570887616e-06,-0.0027206590839923593,-0.0027183402448281413,-0.0027201432017609477,16.0,1000.0,0.0,11.991649967893784,16000,16000.0,2573.01442861557
9.721531759262085,-6.439604875564576,0.0038277371181175113,0.0,17000.0,4.516008254313419e-06,-0.0031081570934475165,-0.003109286009417701,-0.0031093298704363407,17.0,1000.0,0.0,11.49165523687392,17000,17000.0,2660.034095287323
9.708534055709839,-6.436861024856567,0.003871317936340347,0.0,18000.0,3.7492079727599048e-06,-0.003332021419482771,-0.003330183093552478,-0.003329527732450515,18.0,1000.0,0.0,11.531910565325235,18000,18000.0,2746.749995946884
9.695512166976929,-6.417179840087891,0.0035947694352362306,0.0,19000.0,2.724108749930565e-06,-0.0031942560601746664,-0.003194967077317415,-0.0031947181932628155,19.0,1000.0,0.0,11.18959784517518,19000,19000.0,2836.118713617325
9.68246600151062,-6.405068301200867,0.0033683534380979834,0.0,20000.0,3.4402497584551383e-06,-0.0029110899296720164,-0.002911154587636702,-0.0029111412642523647,20.0,1000.0,0.0,11.65348418520792,20000,20000.0,2921.9299607276917
9.669395471572876,-6.396622098922729,0.0030409459606453313,0.0,21000.0,2.363559348509625e-06,-0.0027177728406968527,-0.0027167300403525586,-0.0027172624934464693,21.0,1000.0,0.0,1.2724585504159465,21000,21000.0,3707.8101773262024
9.656300497055053,-6.393795475006104,0.0029571665301918984,0.0,22000.0,2.5597658361675713e-06,-0.0025529690883122386,-0.002553528308053501,-0.002553280044812709,22.0,1000.0,0.0,10.842562828976455,22000,22000.0,3800.0392956733704
9.64318098449707,-6.388362211227417,0.0030159806834999473,0.0,23000.0,2.4155307590945084e-06,-0.00260155155666871,-0.0026007082430878656,-0.0026000671051442624,23.0,1000.0,0.0,10.839340142598784,23000,23000.0,3892.2958347797394
9.630036825180055,-6.375063458442688,0.002952101952745579,0.0,24000.0,2.1870943247677133e-06,-0.0025955842577823204,-0.002596209024079144,-0.0025964394519105553,24.0,1000.0,0.0,11.291370278799127,24000,24000.0,3980.859045982361
9.616867984771728,-6.36320281124115,0.002622556861490011,0.0,25000.0,2.315400692395997e-06,-0.002404317952308702,-0.0024055438487557692,-0.00240568541479297,25.0,1000.0,0.0,10.648930311235313,25000,25000.0,4074.765192747116
9.603674243927001,-6.351067368507385,0.0015275621471755585,0.0,26000.0,1.6076605083981122e-06,-0.0015034219585941173,-0.0015016171380339075,-0.001502247280208394,26.0,1000.0,0.0,9.940598233556692,26000,26000.0,4175.36276102066
9.59045565032959,-6.338829533576965,0.0010910991613927762,0.0,27000.0,1.7819933034388668e-06,-0.0009242692332409206,-0.0009261399560127756,-0.0009251126884482801,27.0,1000.0,0.0,9.836740863064731,27000,27000.0,4277.022449493408
